customer_id,customer_name,email,registration_date,customer_type
CUST_0001,Matthew Lewis,rebekahryan@example.com,2025-12-30 09:56:15,REGULAR
CUST_0002,Corey Davis,todd35@example.com,2024-06-20 00:27:03,VIP
CUST_0003,Jennifer Brown,james53@example.net,2025-10-23 08:03:20,REGULAR
CUST_0004,Debra Casey,jason95@example.net,2025-07-07 04:43:31,REGULAR
CUST_0005,Shane Robinson,vjones@example.net,2024-07-01 13:08:05,REGULAR
CUST_0006,Robert Duke,laura55@example.org,2023-12-05 17:40:56,VIP
CUST_0007,Monica Cox,joshuagallagher@example.com,2025-05-12 09:14:33,REGULAR
CUST_0008,Catherine Schmidt,gjackson@example.com,2026-04-20 01:49:45,PREMIUM
CUST_0009,Sheri Roberson,jonesbarbara@example.net,2023-07-20 20:45:46,REGULAR
CUST_0010,Ricky Rojas,isparks@example.net,2024-01-12 06:53:15,REGULAR
CUST_0011,Stacey Morgan,ihester@example.org,2025-11-07 21:10:09,REGULAR
CUST_0012,Corey Shelton,dunnhannah@example.com,2023-10-24 13:33:49,REGULAR
CUST_0013,Brian Pollard,ramirezeric@example.com,2024-12-01 11:53:16,PREMIUM
CUST_0014,Mark Gates,codyvaldez@example.org,2024-11-18 09:59:04,REGULAR
CUST_0015,Craig Watkins,brockjohn@example.com,2025-06-23 09:03:29,REGULAR
CUST_0016,Stephanie Morales,andrew24@example.com,2024-11-12 12:35:09,REGULAR
CUST_0017,Grant Wood,zacharyrobinson@example.net,2023-10-04 00:39:43,REGULAR
CUST_0018,Lori Clark,ericamcdaniel,2025-06-05 14:40:44,REGULAR
CUST_0019,Christina Mccann,kevin44@example.org,2025-06-22 17:02:10,PREMIUM
CUST_0020,Jessica Williams,brandonhaney@example.net,2023-09-12 13:11:00,REGULAR
CUST_0021,Lisa Larsen,stephaniemejia@example.com,2025-11-16 06:48:53,PREMIUM
CUST_0022,Tiffany Freeman,qpennington@example.com,2023-08-01 04:43:04,REGULAR
CUST_0023,Melissa Davila,johnsonmolly@example.net,2026-03-25 06:58:11,PREMIUM
CUST_0024,Jennifer Baker,abigail12@example.com,2025-06-09 05:23:07,VIP
CUST_0025,Marilyn Jackson,jay81@example.org,2024-07-16 03:15:37,PREMIUM
CUST_0026,Teresa Bauer,shanejohnson@example.org,2026-01-09 00:24:25,REGULAR
CUST_0027,Timothy Mckee,danielrose@example.org,2026-06-07 06:18:36,REGULAR
CUST_0028,Joan Duncan DVM,hvelez@example.org,2025-12-23 18:57:16,REGULAR
CUST_0029,Audrey Cohen,chaneyrichard@example.org,2026-02-18 05:51:13,PREMIUM
CUST_0030,Mary Gray,phillipsjoe@example.net,2023-10-15 15:37:49,REGULAR
CUST_0031,Julie Gonzalez,heidi34@example.com,2026-03-21 21:14:39,REGULAR
CUST_0032,Norma Avila,tylertucker@example.org,2024-03-02 11:21:28,REGULAR
CUST_0033,Peter Brooks,kimberly34@example.net,2024-05-03 02:48:54,REGULAR
CUST_0034,Amy Powers,kimberly79@example.com,2024-08-09 21:43:23,REGULAR
CUST_0035,Janice Gomez,donnawatson@example.org,2023-11-30 17:32:28,REGULAR
CUST_0036,Sydney Lopez,jamestracy@example.com,2024-07-05 16:28:31,VIP
CUST_0037,Dominique Sanders,unelson@example.org,2026-06-13 21:26:33,VIP
CUST_0038,Kelly Brown,ophillips@example.com,2024-03-22 19:51:48,VIP
CUST_0039,Lisa Taylor,goodwintracy@example.com,2023-12-25 09:05:13,REGULAR
CUST_0040,Brian Juarez,kendracarrillo@example.net,2025-07-26 05:14:31,REGULAR
CUST_0041,Carmen Jones,mcclureshawn@example.com,2023-12-10 03:22:25,REGULAR
CUST_0042,Amy Figueroa,wsingh@example.org,2024-07-08 15:31:51,VIP
CUST_0043,Cameron Bowen,smithjonathan@example.net,2026-01-04 05:17:58,REGULAR
CUST_0044,Anthony Lopez,andreasimon@example.org,2025-10-10 13:52:29,REGULAR
CUST_0045,Cody Porter,obrientimothy@example.com,2025-07-20 13:22:44,REGULAR
CUST_0046,Cassidy Smith,jacksonlinda@example.org,2025-07-27 18:39:23,REGULAR
CUST_0047,Nathan Kent,moorejerry@example.net,2024-11-22 23:14:46,PREMIUM
CUST_0048,Todd Nash,lukebarton@example.net,2024-07-27 21:07:03,REGULAR
CUST_0049,Jennifer Gibbs,jeremy44@example.com,2025-02-28 00:25:32,VIP
CUST_0050,Samantha Deleon,jennifersmith@example.org,2026-05-02 12:41:13,REGULAR
CUST_0051,Bobby Lester,jason79@example.org,2024-04-17 04:27:41,REGULAR
CUST_0052,Jennifer Nielsen,turnerchristine@example.net,2025-03-18 09:26:39,REGULAR
CUST_0053,Samantha Patton,christina23@example.net,2026-02-21 13:23:47,PREMIUM
CUST_0054,Sean Mathews,cruzyolanda@example.net,2024-04-04 14:14:44,REGULAR
CUST_0055,Jon Chang,olyons@example.com,2026-06-27 21:22:15,REGULAR
CUST_0056,Jeffrey Miles,kylealexanderexample.org,2026-03-24 20:58:20,REGULAR
CUST_0057,Tracy Brown,tony15@example.com,2023-09-09 23:02:35,PREMIUM
CUST_0058,Joshua Stein,revans@example.org,2025-07-08 01:36:07,REGULAR
CUST_0059,Michael Johnson,joseph91@example.net,2024-02-06 17:20:53,REGULAR
CUST_0060,George Thomas,mcaldwell@example.com,2024-04-21 18:50:38,REGULAR
CUST_0061,Roger Young,ryanbrown@example.com,2026-05-19 22:44:54,REGULAR
CUST_0062,Joshua Hernandez,charlesmaldonado@example.com,2024-12-06 10:34:13,REGULAR
CUST_0063,Kevin Miller,johnjohnson@example.org,2023-08-08 16:59:41,REGULAR
CUST_0064,Gabriela Perry,moralespaula@example.com,2024-12-24 12:30:18,REGULAR
CUST_0065,Cristian Smith,greenamy@example.net,2025-12-21 05:47:26,REGULAR
CUST_0066,Leslie Lopez,danielmeyer@example.org,2025-08-08 16:25:08,REGULAR
CUST_0067,William Rubio,kjones@example.com,2025-02-21 15:44:37,PREMIUM
CUST_0068,Savannah Williams,waltongrace@example.net,2024-03-12 02:07:23,REGULAR
CUST_0069,Andrew Jackson,michaellawson@example.net,2026-07-08 19:26:12,REGULAR
CUST_0070,Dr. Chris Thompson,warejames@example.org,2026-05-05 06:17:19,REGULAR
CUST_0071,Chase Pearson,linda11@example.net,2025-10-06 05:51:03,PREMIUM
CUST_0072,Michelle White,ericaking@example.net,2026-05-09 07:07:46,REGULAR
CUST_0073,Joseph Lloyd,mwhite@example.net,2026-05-17 01:53:46,PREMIUM
CUST_0074,Mr. Mark Carr,andersonjames@example.org,2026-03-30 12:43:07,PREMIUM
CUST_0075,Whitney Hale,troygrant@example.org,2026-04-01 18:30:34,VIP
CUST_0076,Jill White,allenkelly@example.org,2025-01-20 07:10:17,REGULAR
CUST_0077,Angel Taylor,lloydmegan@example.org,2024-09-08 12:06:58,REGULAR
CUST_0078,Robert Brown,skent@example.net,2026-03-11 20:26:23,REGULAR
CUST_0079,Erin Moore,crawforddawn@example.org,2024-01-27 17:51:49,PREMIUM
CUST_0080,Charles Sims,ulane@example.org,2024-12-24 16:41:44,REGULAR
CUST_0081,Amanda Griffin,eileen83@example.org,2025-05-02 11:53:09,REGULAR
CUST_0082,Jason Gutierrez,daniel74@example.com,2024-11-30 23:17:57,REGULAR
CUST_0083,Jason Wheeler,sarah82@example.com,2024-05-27 10:10:43,PREMIUM
CUST_0084,Randall Johnson,pthompson@example.com,2026-06-22 01:55:31,PREMIUM
CUST_0085,William Boone,sara68@example.net,2026-07-04 23:20:43,PREMIUM
CUST_0086,Justin Travis,dennisdon@example.net,2025-06-28 05:15:13,REGULAR
CUST_0087,Juan Cortez,dunnlisa@example.net,2024-09-27 08:35:45,REGULAR
CUST_0088,Derek Watts,bmiller@example.com,2024-04-18 17:59:19,REGULAR
CUST_0089,Craig Eaton,perezkrista@example.net,2025-08-14 19:16:25,REGULAR
CUST_0090,Glenda Farley,ofowler@example.net,2025-11-04 18:35:09,PREMIUM
CUST_0091,William Cline,rhaley@example.org,2024-04-09 17:50:14,REGULAR
CUST_0092,John Acevedo,glamb@example.org,2025-09-08 13:39:01,REGULAR
CUST_0093,Thomas Watkins,yrobbins@example.com,2025-02-04 13:43:24,REGULAR
CUST_0094,Kimberly Barnes,edward88@example.net,2024-01-17 11:46:39,PREMIUM
CUST_0095,Antonio Brooks,kristopher81@example.net,2025-07-19 06:56:32,REGULAR
CUST_0096,Debra Chavez,karenmaynard@example.com,2026-02-24 20:38:25,REGULAR
CUST_0097,Jamie Donaldson,hmorrow@example.com,2025-11-01 21:01:08,REGULAR
CUST_0098,Francis Romero,michael98@example.net,2025-04-28 16:17:33,VIP
CUST_0099,Thomas Walker,tmiller@example.org,2026-02-22 15:18:48,REGULAR
CUST_0100,Amy Welch,kimberly00@example.net,2024-06-20 02:36:33,REGULAR
CUST_0101,Amanda Armstrong,natalie47@example.org,2025-08-19 20:52:25,REGULAR
CUST_0102,Karen Vazquez,othomas@example.org,2023-09-21 20:27:28,VIP
CUST_0103,Christopher Stanton,curryvirginia@example.org,2024-02-06 02:15:42,VIP
CUST_0104,Carrie Jenkins,marypatton@example.com,2025-08-29 08:56:17,REGULAR
CUST_0105,Shawn Flores,ovaughan@example.org,2026-02-18 15:42:40,REGULAR
CUST_0106,Mark Black,dawnboyle@example.com,2024-10-17 04:48:02,VIP
CUST_0107,Jason Jones,stephaniepatel@example.org,2025-08-29 18:43:45,REGULAR
CUST_0108,James Walker,melendezlori@example.net,2023-11-15 00:01:32,REGULAR
CUST_0109,William Mclean,mitchellandre@example.com,2024-09-19 14:21:39,REGULAR
CUST_0110,Karen Leon,zacharyflynn@example.com,2025-08-14 18:06:37,VIP
CUST_0111,Erin Wyatt,gregwilliams@example.org,2024-04-27 23:48:56,VIP
CUST_0112,Nathan Gutierrez,michaelaguilar@example.org,2023-12-08 09:27:40,REGULAR
CUST_0113,Nicole Marsh,shepardsusan@example.com,2023-07-28 01:54:18,PREMIUM
CUST_0114,Nichole Garcia,dhayes@example.net,2025-10-12 15:39:00,REGULAR
CUST_0115,Chelsea Nguyen,sergiovaughan@example.com,2025-12-16 11:36:48,REGULAR
CUST_0116,Ashley Dennis,mhill@example.net,2025-06-03 17:40:16,VIP
CUST_0117,Pam Galvan,paulkendra@example.com,2023-08-27 06:30:32,PREMIUM
CUST_0118,David Franklin,christopherthornton@example.org,2023-10-20 22:00:50,REGULAR
CUST_0119,Catherine Allen,cookjennifer@example.com,2023-12-11 18:36:05,REGULAR
CUST_0120,Valerie Schultz,huntisaac@example.com,2023-09-05 19:49:17,REGULAR
CUST_0121,Marcus Jennings,keithgomez@example.net,2026-06-17 19:09:57,REGULAR
CUST_0122,Brenda Davis,wprice@example.com,2026-02-13 08:55:34,REGULAR
CUST_0123,Dawn Walsh,wagnerdonna@example.org,2025-06-12 03:34:32,REGULAR
CUST_0124,Kurt Vaughn,ruizsarah@example.com,2026-04-26 14:52:16,PREMIUM
CUST_0125,Scott Hamilton,maxwell87@example.org,2025-09-09 00:57:52,REGULAR
CUST_0126,Hannah Short,aaroncarter@example.net,2024-02-19 11:50:50,PREMIUM
CUST_0127,Melvin Berger,stewartalyssa@example.net,2025-02-20 19:59:47,REGULAR
CUST_0128,Shawn Steele,obates@example.com,2025-11-18 17:57:24,REGULAR
CUST_0129,Louis Hernandez,davidmyers@example.com,2025-07-02 18:42:30,PREMIUM
CUST_0130,Anthony Bailey,frodriguez@example.net,2023-07-16 11:29:56,VIP
CUST_0131,Jenna Lopez,lopezalicia@example.org,2025-02-06 02:37:51,REGULAR
CUST_0132,David Sanchez,barkerjonathanexample.org,2024-05-22 12:36:22,REGULAR
CUST_0133,Ana Brown,christine46@example.net,2025-09-24 10:41:41,REGULAR
CUST_0134,Martin Mayer,richard72@example.com,2024-09-22 05:15:05,REGULAR
CUST_0135,Troy Pham,hdixon@example.net,2024-09-15 00:42:01,PREMIUM
CUST_0136,Tamara Blackburn,sburnett@example.com,2024-06-15 20:02:42,REGULAR
CUST_0137,Rachel Moody,jessica54@example.com,2025-05-10 23:07:13,REGULAR
CUST_0138,Karen Henry,baileyalvarado@example.net,2026-05-25 17:29:09,PREMIUM
CUST_0139,Benjamin Gould,marioreynolds@example.org,2024-08-02 18:43:58,REGULAR
CUST_0140,Melissa Whitehead,hoffmanjose@example.net,2024-03-26 15:20:07,REGULAR
CUST_0141,Mark Obrien,elijah37@example.org,2023-11-26 01:02:28,PREMIUM
CUST_0142,Michelle Rogers,cookmichael@example.net,2025-11-22 09:00:22,REGULAR
CUST_0143,Stefanie White,burnserica@example.com,2025-05-19 11:56:03,PREMIUM
CUST_0144,Chloe Morrison,mjohnson@example.com,2023-12-27 01:40:28,REGULAR
CUST_0145,David Nichols,rvargas@example.net,2024-05-30 03:35:12,REGULAR
CUST_0146,Jason Morris,griffinzachary@example.org,2024-12-20 15:53:37,REGULAR
CUST_0147,Jennifer Wheeler,erikrobertson@example.net,2025-11-17 03:55:45,PREMIUM
CUST_0148,Autumn Reed,sharon58@example.org,2024-09-24 13:25:34,PREMIUM
CUST_0149,Dennis Moss,xtrevino@example.com,2023-09-30 06:51:06,REGULAR
CUST_0150,Matthew Walter,riverakimberly@example.net,2026-05-26 15:29:13,VIP
CUST_0151,Peter Payne,davissharon@example.org,2024-10-03 07:23:59,REGULAR
CUST_0152,Matthew Ruiz,gchung@example.com,2026-03-28 18:03:28,REGULAR
CUST_0153,Tina Duncan,timothy37@example.com,2024-07-20 22:12:30,PREMIUM
CUST_0154,Amanda Kramer,jenniferdavis@example.net,2024-05-01 00:37:29,REGULAR
CUST_0155,Amy Mcbride,clinton35@example.com,2024-06-10 14:37:57,VIP
CUST_0156,James Lopez,reyestanner@example.com,2024-04-06 08:04:52,PREMIUM
CUST_0157,Danny Sanchez,watersstacey@example.com,2024-07-16 05:13:00,REGULAR
CUST_0158,Haley Williams,ejordan@example.com,2025-01-04 00:21:31,REGULAR
CUST_0159,Stanley Vang,morganbarr@example.net,2025-11-11 01:18:24,PREMIUM
CUST_0160,Jennifer Harris,gibsonmark@example.org,2024-12-25 01:37:43,REGULAR
CUST_0161,Jennifer Bird,jamesmark@example.com,2023-11-29 07:25:12,REGULAR
CUST_0162,Michael Porter,sanchezhannah@example.net,2026-06-08 20:39:15,PREMIUM
CUST_0163,Robert Turner,nicoleschmidt@example.com,2024-11-24 17:29:57,REGULAR
CUST_0164,Donald Carpenter,dakota82@example.net,2025-09-23 02:46:34,REGULAR
CUST_0165,Tammy Perez,michelle06@example.org,2025-12-17 13:39:27,REGULAR
